code,SMILES,Metal,solvents,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),PV
GAJVIY,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.39794
GAJVIY01,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.39886
GAKNOX,C1=CC(=CC=C1C(=O)O)C(=O)O,Mn,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,25,54.93804,197,3.72,9.4,-50,7.434,7.3,32.04,32.7,0.791,1,8.2,0.32,65,0.13264
GATBUZ,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,diethylformamide,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,89.13,37.7,-0.55,1,2,0.2,174,0.5133
GAWTOP,COC(=O)COCC(=O)OC,Co,"N,N-dimethylformamide",3.625,178.7476922,-22.93877551,-36.31746032,11.62811791,1.559712774,-5.749559083,-58.351888,22.921636,310.7304631,496.5340144,-1.355368481,3.312192454,-1.404140151,-0.996882086,2.877464242,-10.33103491,13.21376393,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.19492
GAWZOW,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Ni,dimethylformamide,3.049095607,151.2393531,-13.11111111,-36.33333333,5,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,0,11.12690298,10.54098356,28,58.693,163,4.4,6.8,112,7.64,8.912,73.09,36.7,-0.85,1,2,0.37,153,0.44608
GELJAJ,C1=CN=CC=C1CCCC2=CC=NC=C2,Zn,methanol,1.902298851,145.894488,-25.91676576,-32.25208086,-3.405469679,-0.70699564,-3.123728366,76.88580041,182.2579589,-320.3481131,172.4550225,0.026475149,-2.986244747,-0.288318895,0.159334126,-4.781989446,-13.24990373,0,0,8.303765432,30,65.4,139,4.45,6.4,-60,9.394,7.134,32.04,32.7,0.791,1,8.2,0.32,65,0.06064
GENLAP,C1=CN=CC=C1C2=CC=NC=C2,Cu,"N,N-dimethylformamide",2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,29,63.55,140,4.48,6.7,119,7.726,8.933,73.09,36.7,-0.85,1,2,0.37,153,0.235
GEXNUV,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Co,"1,4-dioxane",4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,27,58.93319,192,4.3,7.5,64,7.881,8.86,88.11,2.25,0.734,0,21.6,0.26,101,0.19642
GEXPAD,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Cd,"1,4-dioxane",4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,48,112.41,158,4.33,7.2,-70,8.994,8.69,88.11,2.25,0.734,0,21.6,0.26,101,0.2007
GIRYAJ,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.57108
GIRYEN,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)C(=O)O,Zn,ethanol,10.93265993,141.5855201,16.24,-26.68,26.04,52.29,-13.75222222,-15.04985567,72.8642989,-88.84582021,-109.0408894,-4.03428,-11.36796128,-1.585,-0.136969697,1.946496089,1.001961453,0,0,2.547222222,30,65.4,139,4.45,6.4,-60,9.394,7.134,46.07,24.3,-0.31,1,1,0.3,78.37,0.0868
GIXNAE,C(C(=O)O)C(=O)O,Ni,methanol,6.5,31.08374443,-5.884297521,-61.68595041,0,25.94444444,-87.16666667,-221.0698163,71.43784074,-166.8862228,-51.03945649,3.333150413,-2.49472335,5.43553719,-7.537190083,7.201228534,23.35832815,6.420821623,0,0,28,58.693,163,4.4,6.8,112,7.64,8.912,32.04,32.7,0.791,1,8.2,0.32,65,0.54068
GIYTAK,C1C(CC(CC1C(=O)O)C(=O)O)C(=O)O,Cd,dimethylformamide,5.041666667,123.076536,19.7037037,-67.62962963,-57.77777778,70.28703704,-26.74074074,450.227394,136.932714,-320.4280523,341.5998015,-5.2824,-20.14249843,-0.946502058,0.549382716,1.049631063,49.44063896,0,0,0,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.34306
GOQSIQ,C1=CN=CN1,Zn,"N,N-dibutylformamide",6.089439787,146.7274789,-15,-14,0,-2.052469136,-1.845679012,0,0,-133.4506,0,0.276033333,-1.484482744,4,0.983015531,-11.32507474,23.35832815,0,0,0,30,65.4,139,4.45,6.4,-60,9.394,7.134,129.22,19.9,1.07,1,24.3,0.2,152,0.42886
GORJEE,C1=NC=NN1,Zn,methanol,6.089439787,146.7274789,-17.75,-13.75,0,-2.73828125,-1.81640625,0,0,-44.18353857,0,0.3240125,-0.600939763,6.25,0.983015531,-11.37954215,23.35832815,12.65464015,0,0,30,65.4,139,4.45,6.4,-60,9.394,7.134,32.04,32.7,0.791,1,8.2,0.32,65,0.4032
GUBVUU,C1=CN=CC=C1C2=CC=NC=C2,Co,benzene,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,27,58.93319,192,4.3,7.5,64,7.881,8.86,78.11,2.2,2.13,0,0,0.16,80.1,0.3409
GUKMAD,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Zn,dimethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.17588
HAQRID,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",5.132132132,215.6352135,2,-72,-76,70.44444444,-12,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,0,11.12690298,6.464397203,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.52216
HAWZEM,C1=CN=CC=C1C(=O)O,Cu,"N,N-dimethylformamide",6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,29,63.55,140,4.48,6.7,119,7.726,8.933,73.09,36.7,-0.85,1,2,0.37,153,0.3147
HEDCEA,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Zn,"N,N-dimethylformamide",3.81712963,185.3665294,1.750297265,-61.79310345,34.89179548,36.66115075,-6.680076628,-113.0903355,355.1154057,-315.5260643,121.3910449,-3.370697979,-13.30086095,-1.511296076,-0.034284582,-0.011326782,-1.016590183,11.49902367,11.49902367,11.88033846,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.13144
HEHVAU,C1=CN=CC=C1C2=CC=NC=C2,Cd,"N,N-dimethylformamide",2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.12328
HENSEB,C1=C(OC(=C1)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",5.619047619,144.6504787,9.333333333,-17.11111111,-28.88888889,24.21296296,0.904320988,-58.02430904,271.6055111,-141.6918397,-52.99056242,-2.905322222,2.728500953,-2.397660819,-0.222222222,2.702140678,81.84243715,0,0,2.178148148,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.48238
HENSEB01,C1=C(OC(=C1)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",5.619047619,144.6504787,9.333333333,-17.11111111,-28.88888889,24.21296296,0.904320988,-58.02430904,271.6055111,-141.6918397,-52.99056242,-2.905322222,2.728500953,-2.397660819,-0.222222222,2.702140678,81.84243715,0,0,2.178148148,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.48238
HEPHIW,C1=CC(=CC=C1C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.13434
HICVUM,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,dimethylacetamide,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,48,112.41,158,4.33,7.2,-70,8.994,8.69,87.12,37.8,0.937,1,24.2,0.25,166,0.36452
HIFWAV,C1=CN=CN1,Zn,"N,N-diethylformamide",6.089439787,146.7274789,-15,-14,0,-2.052469136,-1.845679012,0,0,-133.4506,0,0.276033333,-1.484482744,4,0.983015531,-11.32507474,23.35832815,0,0,0,30,65.4,139,4.45,6.4,-60,9.394,7.134,101.14,36.7,0.945,1,19.9,0.2,152,0.357
HISGIB,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Cs,"N,N-dimethylformamide",4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,55,132.905452,343,2.18,59.6,46,3.894,1.93,73.09,36.7,-0.85,1,2,0.37,153,0.2483
HIYBUN,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Zn,nitrobenzene,3.515151515,262.0000918,-9,-3,-65.25,-1.925925926,-0.444444444,99.502764,-378.735348,-233.8056233,619.5860344,-1.238475,-29.09014543,-0.315217391,-0.295454545,-2.890111,-12.97988325,0,34.16356797,11.26185185,30,65.4,139,4.45,6.4,-60,9.394,7.134,123.11,35.3,1.6,1,5,0.21,210,0.48426
HIYRAJ,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Zn,nitrobenzene,3.515151515,262.0000918,-9,-3,-65.25,-1.925925926,-0.444444444,99.502764,-378.735348,-233.8056233,619.5860344,-1.238475,-29.09014543,-0.315217391,-0.295454545,-2.890111,-12.97988325,0,34.16356797,11.26185185,30,65.4,139,4.45,6.4,-60,9.394,7.134,123.11,35.3,1.6,1,5,0.21,210,0.4258
HIYZEV01,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Mn,dimethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,25,54.93804,197,3.72,9.4,-50,7.434,7.3,73.09,36.7,-0.85,1,2,0.37,153,0.19862
HOGSIG,C1=CN=CC=C1C(=O)O,Ni,ethanol,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,28,58.693,163,4.4,6.8,112,7.64,8.912,46.07,24.3,-0.31,1,1,0.3,78.37,0.29556
HOHJAR,C1=CC(=CN=C1)C(=O)O,Fe,acetonitrile,4.866666667,77.46190551,-4.326530612,-12.20408163,6.612244898,14.48752834,-3.169501134,25.32871978,-76.6296337,-126.5633675,87.63283563,-0.249644898,-13.41592119,-0.575725027,-0.373469388,-3.129332876,23.35832815,0,0,3.08212963,26,55.84,194,4.06,8.4,15,7.902,7.874,41.05,37.5,0.34,0,1,0.26,81.6,0.14234
HOJLID,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.63456
HOJNOL,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.02656
HOJNUR,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.02648
HOJNUR01,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.00916
HOJPAZ,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.0266
HOJPED,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.0262
HOJPIH,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methanol,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.01752
HOQMIL04,C1=CN=CC=C1C2=CC=NC=C2,Mg,"N,N-dimethylformamide",2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,73.09,36.7,-0.85,1,2,0.37,153,0.30794
HORQOX,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Cd,dimethylformamide,5.182222222,130.6515115,14.88888889,-12.77777778,35.66666667,36.66666667,-3.444444444,-310.886279,-55.760216,-109.2228995,-493.3278434,-1.067288889,-2.779407101,-0.837606838,-0.768888889,0.202953053,26.48408176,0,0,9.193949358,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.12664
HOVGIK,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Cd,dimethylformamide,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.3288
HOWPOZ,C1=CN=CC(=C1C(=O)O)C(=O)O,Cd,dimethylformamide,12.08333333,71.54870985,0.788927336,-21.42906574,18.71280277,27.17377932,-19.48173779,-14.6617404,-149.0975894,-30.12566296,-105.3155015,-1.08829308,-11.03563284,-0.603030665,0.094146482,-0.123804066,23.35832815,0,0,1.14462963,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.36924
HOWPUF,C1=CN=CC(=C1C(=O)O)C(=O)O,Zn,dimethylacetamide,12.08333333,71.54870985,0.788927336,-21.42906574,18.71280277,27.17377932,-19.48173779,-14.6617404,-149.0975894,-30.12566296,-105.3155015,-1.08829308,-11.03563284,-0.603030665,0.094146482,-0.123804066,23.35832815,0,0,1.14462963,30,65.4,139,4.45,6.4,-60,9.394,7.134,87.12,37.8,0.937,1,24.2,0.25,166,0.4575
HOWQOA,C1=CN=CC(=C1C(=O)O)C(=O)O,Zn,dimethylacetamide,12.08333333,71.54870985,0.788927336,-21.42906574,18.71280277,27.17377932,-19.48173779,-14.6617404,-149.0975894,-30.12566296,-105.3155015,-1.08829308,-11.03563284,-0.603030665,0.094146482,-0.123804066,23.35832815,0,0,1.14462963,30,65.4,139,4.45,6.4,-60,9.394,7.134,87.12,37.8,0.937,1,24.2,0.25,166,0.34432
HOXKUB,C1=C(SC(=C1)C(=O)O)C(=O)O,Yb,ethanol,5.619047619,144.6504787,6.536296296,-34.58864198,-30.04246914,33.76701875,-31.83165219,17.1281794,289.8112614,15.3797224,-8.112786327,-1.919036,-18.63677144,-0.574554906,-0.58680776,2.971853306,93.98528538,9.754294387,0,2.548518519,70,173.05,242,3.1,21,-2,6.254,6.9,46.07,24.3,-0.31,1,1,0.3,78.37,0.15992
HOXSIY,C1=CC(=CC=C1C2=CC(=CC(=C2)C(=O)O)C(=O)O)C(=O)O,Zn,"N,N-dimethylacetamide",4.387152778,200.9464196,3.511966701,-55.38189386,-75.10093652,54.8314256,-3.199676263,472.9017234,151.7267787,-127.6428303,314.4336725,-3.170322477,-17.78670351,-0.692790248,0.916915973,0.654011749,7.934098653,0,11.12690298,9.47030712,30,65.4,139,4.45,6.4,-60,9.394,7.134,87.12,32.2,-0.85,1,2,0.25,165.1,0.12564
HURFEH,C1=C(C=C(C=C1C(=O)O)N)C(=O)O,Zn,dimethylamine,7.862068966,106.0322075,9.01,-33.17,13.5,36.64555556,-16.68555556,235.4877128,-522.9619364,4.290158193,-355.2791089,-1.7113,-16.76817217,-0.12,0.445172414,4.203716805,69.38641121,0,0,3.46287037,30,65.4,139,4.45,6.4,-60,9.394,7.134,45.09,3.9,0.67,1,1,0.2,3.2,0.48528
HUYXUV,C(=O)O,Co,formate,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,46.03,59,-0.39,1,2,0.24,100.8,0.06778
HUYYAC,C(=O)O,Cu,formate,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,46.03,59,-0.39,1,2,0.24,100.8,0.12534
ICITEU,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Fe,dimethylformamide,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,26,55.84,194,4.06,8.4,15,7.902,7.874,73.09,36.7,-0.85,1,2,0.37,153,0.70864
IFASOZ,C(CCC(=O)O)CC(=O)O,Mg,"N,N-dimethylacetamide",4.127572016,123.3797369,15.52,-42.97,58.3,47.08666667,-34.35888889,-112.6919219,-175.0118944,-413.8339992,21.53607572,-1.009616,-1.811831412,-0.74,-1.345555556,0.891151629,-17.76143433,0,0,0,12,24.305,173,3.75,10.6,-40,7.646,1.74,87.12,32.2,-0.85,1,2,0.25,165.1,0.4449
IFIPEV,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,"N,N-dimethylformamide",3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,49,114.818,193,3.1,9.7,29,5.786,7.31,73.09,36.7,-0.85,1,2,0.37,153,0.575
IGUCIY,C1=CN=CN1,Sm,imidazole,6.089439787,146.7274789,-15,-14,0,-2.052469136,-1.845679012,0,0,-133.4506,0,0.276033333,-1.484482744,4,0.983015531,-11.32507474,23.35832815,0,0,0,62,150.4,229,3.1,28.8,16,5.644,7.52,68.08,13.1,-0.31,1,2,0.26,188,0.16658
IGUTUB,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Cd,"N,N-dimethylformamide",3.049095607,151.2393531,-13.11111111,-36.33333333,5,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,0,11.12690298,10.54098356,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.23912
IGUTUB01,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Cd,"N,N-dimethylformamide",3.049095607,151.2393531,-13.11111111,-36.33333333,5,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,0,11.12690298,10.54098356,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.19744
IGUVIR,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Cd,"N,N-dimethylacetamide",3.049095607,151.2393531,-13.11111111,-36.33333333,5,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,0,11.12690298,10.54098356,48,112.41,158,4.33,7.2,-70,8.994,8.69,87.12,32.2,-0.85,1,2,0.25,165.1,0.24434
IGUVIR01,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Cd,"N,N-dimethylacetamide",3.049095607,151.2393531,-13.11111111,-36.33333333,5,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,0,11.12690298,10.54098356,48,112.41,158,4.33,7.2,-70,8.994,8.69,87.12,32.2,-0.85,1,2,0.25,165.1,0.26158
IHOSUV,CC(=O)O,Mg,ethanol,6.089439787,146.7274789,1,-48,0,23.84722222,-43.27777778,0,0,-42.03469954,0,0.47401875,1.412091599,4,0.983015531,15.82330225,23.35832815,0,0,0,12,24.305,173,3.75,10.6,-40,7.646,1.74,46.07,24.3,-0.31,1,1,0.3,78.37,0.16234
IJITEC,C1=CC(=CC=C1C2=CC=C(C=C2)N3C=CN=C3)N4C=CN=C4,Co,acetonitrile,2.406504065,154.4445263,-37.61111111,-66.55555556,5.083333333,-3.198902606,-1.920438957,-112.7578171,432.3434331,-142.4597353,-355.5091315,-0.44345,4.078073776,-0.361111111,0.194444444,-3.792848865,-12.38901153,0,22.50167553,16.89819854,27,58.93319,192,4.3,7.5,64,7.881,8.86,41.05,37.5,0.34,0,1,0.26,81.6,0.06974
ITIPAE,C(=O)O,Zn,dimethylformamide,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.28328
IWOSAP,C(CC(=O)O)C(=O)O,Ho,salicylic,17.63333333,82.01363063,4.816326531,-69.40816327,5.897959184,37.64965986,-60.76927438,396.3788525,-224.7112336,-249.9676208,98.47365813,-2.263012245,-2.150515384,-0.816326531,5.369387755,4.64666622,23.35832815,0,0,0,67,164.93033,216,3.1,23.6,33,6.022,8.8,138.12,13.2,2.1,1,2,0.28,211,0.17814
